2011-11-18 00:26:03 Notice: Notice (8): Undefined property: IrohaDatasController::$IrohaDatas in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 9]
2011-11-19 13:05:56 Notice: Notice (8): Undefined variable: page_title in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 6]
2011-11-19 13:05:56 Notice: Notice (8): Undefined variable: header_project in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 11]
2011-11-19 13:05:56 Notice: Notice (8): Undefined variable: header_page in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 12]
2011-11-19 13:05:56 Notice: Notice (8): Undefined variable: footer in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 17]
2011-11-19 13:07:34 Notice: Notice (8): Undefined variable: page_title in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 6]
2011-11-19 13:07:34 Notice: Notice (8): Undefined variable: header_project in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 11]
2011-11-19 13:07:34 Notice: Notice (8): Undefined variable: header_page in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 12]
2011-11-19 13:07:34 Notice: Notice (8): Undefined variable: footer in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 17]
2011-11-19 13:11:48 Notice: Notice (8): Undefined variable: header in [/var/www/crdb/app/views/layouts/iroha_data.ctp, line 11]
2011-11-19 17:31:13 Notice: Notice (8): Undefined variable: token in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 30]
2011-11-19 17:48:36 Notice: Notice (8): Undefined variable: query」にあてはまる読みが in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 13]
2011-11-19 17:48:36 Notice: Notice (8): Undefined variable: ycount件みつかりました in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 13]
2011-11-19 19:12:10 Notice: Notice (8): Undefined index: onyomi in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 25]
2011-11-19 19:12:10 Notice: Notice (8): Undefined index: onyomi in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 26]
2011-11-19 19:27:35 Notice: Notice (8): Use of undefined constant ycount - assumed 'ycount' in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 16]
2011-11-19 19:27:35 Notice: Notice (8): Undefined variable: keyword in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 29]
2011-11-19 19:28:05 Notice: Notice (8): Undefined variable: keyword in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 16]
2011-11-19 19:49:52 Notice: Notice (8): Undefined variable: midashigos in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 35]
2011-11-19 19:50:15 Notice: Notice (8): Undefined index: maedahonsyozai in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 40]
2011-11-19 19:51:02 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 4]
2011-11-19 19:51:02 Notice: Notice (8): Undefined variable: ycount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 11]
2011-11-19 19:51:02 Notice: Notice (8): Undefined variable: mcount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 29]
2011-11-19 19:51:38 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 4]
2011-11-19 19:51:38 Notice: Notice (8): Undefined variable: ycount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 11]
2011-11-19 19:51:38 Notice: Notice (8): Undefined variable: mcount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 29]
2011-11-19 19:51:41 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 4]
2011-11-19 19:51:41 Notice: Notice (8): Undefined variable: ycount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 11]
2011-11-19 19:51:41 Notice: Notice (8): Undefined variable: mcount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 29]
2011-11-19 19:51:42 Notice: Notice (8): Undefined variable: query in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 4]
2011-11-19 19:51:42 Notice: Notice (8): Undefined variable: ycount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 11]
2011-11-19 19:51:42 Notice: Notice (8): Undefined variable: mcount in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 29]
2011-11-19 19:54:37 Notice: Notice (8): Undefined index: maedahonsyozai in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 40]
2011-11-19 19:56:43 Notice: Notice (8): Undefined index: maedahonsyozai in [/var/www/crdb/app/views/iroha_datas/index.ctp, line 40]
2011-11-19 20:20:18 Notice: Notice (8): Use of undefined constant C - assumed 'C' in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 31]
2011-11-19 20:20:19 Notice: Notice (8): Use of undefined constant K - assumed 'K' in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 32]
2011-11-19 20:22:11 Notice: Notice (8): Undefined variable: quety in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 30]
2011-11-19 20:22:11 Notice: Notice (8): Undefined variable: quety in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 32]
2011-11-19 20:22:11 Notice: Notice (8): Undefined variable: quety in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 34]
2011-11-19 20:22:11 Notice: Notice (8): Undefined variable: quety in [/var/www/crdb/app/controllers/iroha_datas_controller.php, line 36]
2011-11-20 10:33:51 Notice: Notice (8): Use of undefined constant IS_LOCAL - assumed 'IS_LOCAL' in [/var/www/crdb/app/config/database.php, line 75]
2011-11-20 10:35:10 Notice: Notice (8): Use of undefined constant IS_LOCAL - assumed 'IS_LOCAL' in [/var/www/crdb/app/config/bootstrap.php, line 52]
2011-11-20 10:35:12 Notice: Notice (8): Use of undefined constant IS_LOCAL - assumed 'IS_LOCAL' in [/var/www/crdb/app/config/bootstrap.php, line 52]
2011-12-10 21:43:40 Notice: Notice (8): Undefined variable: header in [/var/www/crdb/app/views/layouts/users.ctp, line 12]
2011-12-10 21:44:41 Notice: Notice (8): Undefined variable: header in [/var/www/crdb/app/views/layouts/users.ctp, line 12]
